fashion_house,show,URL,description,editor,publish_date,image_urls,location,season,year,category,decade,creative_director,date_of_birth,educationLabel,clean_description,annotation,explanation
Christian Lacroix,fall-2004-ready-to-wear,https://www.vogue.com/fashion-shows/fall-2004-ready-to-wear/christian-lacroix,"Christian Lacroix returned to a real runway show this season after taking a 2-year hiatus, and looking at the clothes, it felt as if he'd never been away. Lacroix marches to his own drum, which means that there have been moments when he was been out of step with the rest of the fashion world (during the minimalism of the late nineties, for example). These days, of course, color and ornamentation have become the look du jour; so it should, by rights, be a Lacroix moment.If only it were that simple. It's not hard to expect that Lacroix's break from shows, plus his success at Pucci, might have pushed him forward a bit. Yet it felt that things hadn't quite gotten up to speed. He's still just as assured in matters of decoration and color, and his silhouette was much less complicated than in the past. What worked was a plaid trench and blouson, a slim metallic floral coat, and, for evening, an Edwardian-looking lace blouse and floor-sweeping ruffled skirt. But his approach to putting all this together could get a little fussy and overwrought. Sure, odd-looking huge floral corsages are obviously meant just for runway wear, but they still detract from the clothes underneath.If Lacroix needs a fresh direction, he could perhaps take a lesson from his own menswear. The few pieces he showed (it's a new venture for him) had all his characteristic richness—the claret velvet blazer with pink-and-khaki-checked tweed trousers or the gray tweed coat worn over a baby-blue hoodie—but worn with a beautifully modern, casual ease.",Mark Holgate,"March 8, 2004","https://assets.vogue.com/photos/55c650d408298d8be216dea5/master/w_1280,c_limit/00010f.jpg",,fall,2004,ready-to-wear,2000,Christian Lacroix,1951.0,,"returned to a real runway show this season after taking a 2 - year hiatus , and looking at the clothes , it felt as if he 'd never been away . marches to his own drum , which means that there have been moments when he was been out of step with the rest of the fashion world ( during the minimalism of the late nineties , for example ) . These days , of course , color and ornamentation have become the look du jour ; so it should , by rights , be a moment . If only it were that simple . It 's not hard to expect that 's break from shows , plus his success at , might have pushed him forward a bit . Yet it felt that things had n't quite gotten up to speed . He 's still just as assured in matters of decoration and color , and his silhouette was much less complicated than in the past . What worked was a plaid trench and blouson , a slim metallic floral coat , and , for evening , an Edwardian - looking lace blouse and floor - sweeping ruffled skirt . But his approach to putting all this together could get a little fussy and overwrought . Sure , odd - looking huge floral corsages are obviously meant just for runway wear , but they still detract from the clothes underneath . If needs a fresh direction , he could perhaps take a lesson from his own menswear . The few pieces he showed ( it 's a new venture for him ) had all his characteristic richness — the claret velvet blazer with pink - and - khaki - checked tweed trousers or the gray tweed coat worn over a baby - blue hoodie — but worn with a beautifully modern , casual ease .",0,his approach to putting all this together could get a little fussy and overwrought
Jil Sander,resort-2020,https://www.vogue.com/fashion-shows/resort-2020/jil-sander,"Simplicityis a key word for Jil Sander’s Luke and Lucie Meier. Their design relies on clean, essential lines, almost minimal in their purity, but there’s nothing basic in their rather conceptual approach. In their case, simplicity rhymes more withfinessethan withplainness. Having an appreciation for craft and the sophistication that goes into the minute details they favor, their style is tinged with an elevated folksy attitude.For Resort, they injected a touch of playfulness into the mix, to ease their sometimes too rigorous m.o.: “The silhouette is very elongated, very lean,” said Luke. “It follows the body line, but then it breaks with a playful gesture, like tying something around the waist, be it a belt, a sweater, or a leather waist bag. Trying to convey a sense of lightness and movement.”Cases in point were a striped poplin shirtdress with a matching masculine shirt casually tied around the waist, and an obi-inspired belt draped around a white ottoman cotton canvas chemise, worn over a handmade raffia-crocheted skirt. Mitigating further the elegant severity inherent to the designers’ approach, oversize proportions were reduced and softened, as in a white apron-sundress tightly smocked, its hem ending in a crisp, graceful flounce. Or else shoulders were cut rounded and feminine, as in a black cotton trapeze blouse paired with a matching ankle-grazing asymmetrical skirt; or again, in a white linen A-line midi dress, where the shoulder line had a neat lightness, precise and softly sculptural.Even tailoring, one of the brand’s strong points, was rendered with a softer edge. “We like tailoring because it’s handmade,” said Luke. “It’s not an industrial product. For us, elegance comes down to an appreciation for the care and refinement that goes into things well made.” This is why craft and handwork give their collections a modern folksy feel. Tie-dye Shibori techniques were used as decorative elements on a loose shirt-skirt ensemble, like red abstract poppies blooming on a tobacco raw-silk-canvas field. Elsewhere, white tie-dye motifs lit up an indigo blue cotton blouse. Along the same lines, flowery raffia crochet patches were stitched on a long black plissé skirt with crisp striped inserts. Worn with a tailored blazer and a white sculpted blouse in ottoman cotton canvas, it looked polished and cool.Underlining the imaginative feel, looks were completed with playful accessories: Japanese-inspired chunky wooden platforms with braided laces; flat sandals trailing raffia fringed tassels; flower-shaped sculptural earrings; and pearl pendants. Extra-large straw shopping bags evoked a crescent moon, while a bohemian fringy shoulder bag concealed a rigid boxy purse on the inside. They revealed a poetic, quirky side of the designers’ aesthetic. Breaking free from control can open up clever new perspectives.",Tiziana Cardini,"May 22, 2019","https://assets.vogue.com/photos/5ce56372d90148f0a15a6af6/master/w_1280,c_limit/00001-jil-sander-resort-20.jpg",,resort,2020,other,2020,Luke Meier,,Fashion Institute of Technology,"a key word for Jil Sander ’s Luke and . Their design relies on clean , essential lines , almost minimal in their purity , but there ’s nothing basic in their rather conceptual approach . In their case , simplicity rhymes more withfinessethan withplainness . Having an appreciation for craft and the sophistication that goes into the minute details they favor , their style is tinged with an elevated folksy attitude . For Resort , they injected a touch of playfulness into the mix , to ease their sometimes too rigorous m.o . : “ The silhouette is very elongated , very lean , ” said . “ It follows the body line , but then it breaks with a playful gesture , like tying something around the waist , be it a belt , a sweater , or a leather waist bag . Trying to convey a sense of lightness and movement . ”Cases in point were a striped poplin shirtdress with a matching masculine shirt casually tied around the waist , and an obi - inspired belt draped around a white ottoman cotton canvas chemise , worn over a handmade raffia - crocheted skirt . Mitigating further the elegant severity inherent to the designers ’ approach , oversize proportions were reduced and softened , as in a white apron - sundress tightly smocked , its hem ending in a crisp , graceful flounce . Or else shoulders were cut rounded and feminine , as in a black cotton trapeze blouse paired with a matching ankle - grazing asymmetrical skirt ; or again , in a white linen A - line midi dress , where the shoulder line had a neat lightness , precise and softly sculptural . Even tailoring , one of the brand ’s strong points , was rendered with a softer edge . “ We like tailoring because it ’s handmade , ” said . “ It ’s not an industrial product . For us , elegance comes down to an appreciation for the care and refinement that goes into things well made . ” This is why craft and handwork give their collections a modern folksy feel . techniques were used as decorative elements on a loose shirt - skirt ensemble , like red abstract poppies blooming on a tobacco raw - silk - canvas field . Elsewhere , white tie - dye motifs lit up an indigo blue cotton blouse . Along the same lines , flowery raffia crochet patches were stitched on a long black plissé skirt with crisp striped inserts . Worn with a tailored blazer and a white sculpted blouse in ottoman cotton canvas , it looked polished and cool . Underlining the imaginative feel , looks were completed with playful accessories : Japanese - inspired chunky wooden platforms with braided laces ; flat sandals trailing raffia fringed tassels ; flower - shaped sculptural earrings ; and pearl pendants . Extra - large straw shopping bags evoked a crescent moon , while a bohemian fringy shoulder bag concealed a rigid boxy purse on the inside . They revealed a poetic , quirky side of the designers ’ aesthetic . Breaking free from control can open up clever new perspectives .",1,
Maison Rabih Kayrouz,fall-2018-ready-to-wear,https://www.vogue.com/fashion-shows/fall-2018-ready-to-wear/maison-rabih-kayrouz,"For the first time since 2014, Rabih Kayrouz presented his collections outside his Left Bank maison, hosting guests at the American Cathedral where “It’s Couture Baby” glared in red neon from wood paneling that temporarily replaced the altar. Deduction might lead to a sacred/profane dichotomy, but in lighter terms and on the final day of shows, the signage was suitably irreverent. And as Kayrouz would explain postshow, the point was actually one of semantics.Attend enough of his presentations and it becomes clear that his clients are diverse in background and discerning in taste. Unlike the industry at large, they probably don’t dwell on which collection he shows and when; they just appear when invited and eventually place their orders. Visits to his atelier come close to a couture experience, no matter what is or isn’t being purchased. Accordingly, the lineup today included Pre-Fall, Fall ’18 ready-to-wear, and yes, a few couture designs, too. “This is my work; this is my collection; this is the work I like to do for the women I love,” he said.Some of those women walked in the show, including jewelry designer Noor Fares and the ever-amiable French journalist Sophie Fontanel. There was also star dancer Marie-Agnès Gillot, who performed intermittently in a bright orange dress that accommodated her full range of passionately agitated movements. At the end of the show, with Fares wearing an ivory dress fit for an architecturally minded wedding, they became the designer’s Three Graces: beauty, charm, and creativity in equal measure.Mentioning these details conveys what is not immediately discernible in the draping of a gabardine coat or the outward angle of a cuff. The collection was well represented by beautiful, smooth planes—on a cashmere jacket with no closures; a high-neck ivory sleeveless dress verging downward; and long coats that flowed around the body. Yet Kayrouz is not so much a minimalist—for proof, consider his couture pieces featuring 18th-century fabric patches shielded between tulle—as a purist who judiciously employs color to bold effect. Sometimes you get the sense he’ll show an allover orange suit simply because it is necessary to his compositional balance, not to your wardrobe. The presence of brocades, on the other hand, would reflect well on all parties—with the coordinating relaxed separates more original than the admittedly excellent dresses.More than usual, his unstructured designs came with built-in attitude—which was further enhanced by his sculptural jewelry. If these pieces sometimes felt too large for the bodies that wore them, they were absorbed by the scale of space. And in this way, it was nice to see Kayrouz thinking big.",Amy Verner,"January 25, 2018","https://assets.vogue.com/photos/5a6a426c5bf3a12adf433d34/master/w_1280,c_limit/01-Maison-Rabih-Kayrouz-Fall-2018.jpg",,fall,2018,ready-to-wear,2010,,,,"For the first time since 2014 , presented his collections outside his Left Bank maison , hosting guests at where “ It ’s Couture Baby ” glared in red neon from wood paneling that temporarily replaced the altar . Deduction might lead to a sacred / profane dichotomy , but in lighter terms and on the final day of shows , the signage was suitably irreverent . And as would explain postshow , the point was actually one of semantics . Attend enough of his presentations and it becomes clear that his clients are diverse in background and discerning in taste . Unlike the industry at large , they probably do n’t dwell on which collection he shows and when ; they just appear when invited and eventually place their orders . Visits to his atelier come close to a couture experience , no matter what is or is n’t being purchased . Accordingly , the lineup today included , Fall ’ 18 ready - to - wear , and yes , a few couture designs , too . “ This is my work ; this is my collection ; this is the work I like to do for the women I love , ” he said . Some of those women walked in the show , including jewelry designer and the ever - amiable French journalist . There was also star dancer , who performed intermittently in a bright orange dress that accommodated her full range of passionately agitated movements . At the end of the show , with wearing an ivory dress fit for an architecturally minded wedding , they became the designer ’s Three Graces : beauty , charm , and creativity in equal measure . Mentioning these details conveys what is not immediately discernible in the draping of a gabardine coat or the outward angle of a cuff . The collection was well represented by beautiful , smooth planes — on a cashmere jacket with no closures ; a high - neck ivory sleeveless dress verging downward ; and long coats that flowed around the body . Yet is not so much a minimalist — for proof , consider his couture pieces featuring 18th - century fabric patches shielded between tulle — as a purist who judiciously employs color to bold effect . Sometimes you get the sense he ’ll show an allover orange suit simply because it is necessary to his compositional balance , not to your wardrobe . The presence of brocades , on the other hand , would reflect well on all parties — with the coordinating relaxed separates more original than the admittedly excellent dresses . More than usual , his unstructured designs came with built - in attitude — which was further enhanced by his sculptural jewelry . If these pieces sometimes felt too large for the bodies that wore them , they were absorbed by the scale of space . And in this way , it was nice to see thinking big .",0,If these pieces sometimes felt too large for the bodies that wore them
Prada,spring-2003-ready-to-wear,https://www.vogue.com/fashion-shows/spring-2003-ready-to-wear/prada,"Miuccia Prada has trained the fashion world to expect—indeed, to crave—the unexpected from her shows. Even those audience members who came dressed head to toe in her winter “sex” collection were there to see which sharp new turn she would take next. They were not to be disappointed. The designer let her fall Helmut Newton-esque fantasy evaporate in favor of something much cleaner, rearranging all her hallmarks—a love of couture fabrics, an obsession with the ’60s, and the ability to appropriate ethnic touches and play with modernist cuts—as never before.She opened with bright, singing color: a neon-pink cheongsam shirt with an orange-sorbet short skirt, both in luxurious duchesse satin. And by accessorizing the look with sporty goggles, thrust on top of the head, and flat silver sandals, she steered well clear of any literal vintage reference. The same mind-set could be seen at work in a sequence of white T-shirt pieces decorated with patches of plastic beading, and in a pair of Bermudas cut from shiny couture-like brocade and worn with a racer-back tank. Prada reinvented jewelry, too, tying on flat leather breast pieces encrusted with plastic beads or fusing them into the necklines of bra-top jersey dresses.The best measure of the collection’s success was that nothing was complicated, despite the complex merging of sport, color, luxury and ’60s elements. Many designers have been grasping at these disparate themes for spring, but few have been able to filter them into anything as appealingly wearable as Prada’s short satin trenches and flippy, white elastic-waist dresses.",Sarah Mower,"September 26, 2002","https://assets.vogue.com/photos/6310ce1d72022083cfa35296/master/w_1280,c_limit/00010h-prada-spring-2003-ready-to-wear-louise-pedersen.jpg",,spring,2003,ready-to-wear,2000,Miuccia Prada,1949.0,University of Milan,"has trained the fashion world to expect — indeed , to crave — the unexpected from her shows . Even those audience members who came dressed head to toe in her winter “ sex ” collection were there to see which sharp new turn she would take next . They were not to be disappointed . The designer let her fall - esque fantasy evaporate in favor of something much cleaner , rearranging all her hallmarks — a love of couture fabrics , an obsession with the ’ 60s , and the ability to appropriate ethnic touches and play with modernist cuts — as never before . She opened with bright , singing color : a neon - pink cheongsam shirt with an orange - sorbet short skirt , both in luxurious . And by accessorizing the look with sporty goggles , thrust on top of the head , and flat silver sandals , she steered well clear of any literal vintage reference . The same mind - set could be seen at work in a sequence of white T - shirt pieces decorated with patches of plastic beading , and in a pair of cut from shiny couture - like brocade and worn with a racer - back tank . reinvented jewelry , too , tying on flat leather breast pieces encrusted with plastic beads or fusing them into the necklines of bra - top jersey dresses . The best measure of the collection ’s success was that nothing was complicated , despite the complex merging of sport , color , luxury and ’ 60s elements . Many designers have been grasping at these disparate themes for spring , but few have been able to filter them into anything as appealingly wearable as ’s short satin trenches and flippy , white elastic - waist dresses .",1,
Bibhu Mohapatra,resort-2014,https://www.vogue.com/fashion-shows/resort-2014/bibhu-mohapatra,"It was a subtle thing, but there was one detail in Bibhu Mohapatra's new collection that spoke volumes about his development as a designer. That detail was a flutter—a soft ruffle of chiffon that served as the shoulder of his crisp silk shirtdress, and it reappeared as the adornment of a keyhole-collar blouse. It has taken a while, but Mohapatra has finally learned to be judicious with his flourishes. This collection was marked by that discipline: He limited himself to one decorative idea—a flock-like pattern inspired the look of a part of India colonized by the French—and he kept his shapes simple, too, emphasizing structured sheaths. There was also a nice sense of communication between Mohapatra's evening looks and his clothes for day. If he overdid anything here, it was his focus; after a while, his repetition of the flock became a bit tiresome, especially in an embroidered leather iteration that just didn't work. The cleaner looks, like that shirtdress, came off as a balm. Still, this collection had a lot of appeal and showed Mohapatra moving in the right direction.",Maya Singer,"June 3, 2013","https://assets.vogue.com/photos/55c6511508298d8be21b4105/master/w_1280,c_limit/Bibhu_Mohapatra_001_1366.1366x2048.JPG",,resort,2014,other,2010,Bibhu Mohapatra,1972.0,Fashion Institute of Technology,"It was a subtle thing , but there was one detail in Bibhu Mohapatra 's new collection that spoke volumes about his development as a designer . That detail was a flutter — a soft ruffle of chiffon that served as the shoulder of his crisp silk shirtdress , and it reappeared as the adornment of a keyhole - collar blouse . It has taken a while , but Mohapatra has finally learned to be judicious with his flourishes . This collection was marked by that discipline : He limited himself to one decorative idea — a flock - like pattern inspired the look of a part of India colonized by the French — and he kept his shapes simple , too , emphasizing structured sheaths . There was also a nice sense of communication between 's evening looks and his clothes for day . If he overdid anything here , it was his focus ; after a while , his repetition of the flock became a bit tiresome , especially in an embroidered leather iteration that just did n't work . The cleaner looks , like that shirtdress , came off as a balm . Still , this collection had a lot of appeal and showed Mohapatra moving in the right direction .",1,
Chanel,spring-2016-couture,https://www.vogue.com/fashion-shows/spring-2016-couture/chanel,"“Fashion is part of the events of our times,” declaredKarl Lagerfeldabout the Zen-like, eco-conscious serenity of theChanelHaute Couture collection in the Grand Palais. Reacting to the times (especially in an age as troubled as ours) can also mean needing to detach from them, fashion-mindfulness equated with luxury in this case. So where last October there was the high-tech, noisy hurly-burly of theChanel Airport, now there were the lush green lawns of a minimalist garden, water lily ponds, a slatted wood pavilion, and plenty of space and calm to contemplate it all under simulated blue skies. It seemed incredible that the same venue had been transformed into a convincing casino for the last couture show—a tribute to the set-design genius at Chanel—and just as incredible that this time, the gambling chips had been replaced by . . . wood chips.You read correctly: Wood chips were used as beading, paillettes, and 3-D frills among techniques involving recycled paper and organic woven yarn. The wedding look—a dreamy tufted hoodie, dress, and train—was all “made from wild cotton,” said Lagerfeld, quipping, “This is high-fashion ecology. It must not look like some sloppy demonstration!”A case could be built for haute couture being the most non-environmentally impactful branch of clothing production, anyway. It’s handmade, takes infinite hours of work, and potentially lasts a lifetime, the antithesis of fast fashion’s notorious processes and disposability. As the show unfolded, it became, in a way, a meditation on the timeless validity of Chanel’s principles: pale bouclé suits, attenuated in the skirt, puffed in the sleeve, and with set-away collars; a movement of classic navy and white (there was a lovely white-collared classic French Gigi-at-school dress); and passages of languid pearly charmeuse and black cocktailwear.But it was the evening that soared from the moment Lagerfeld started to introduce flecks of gold into the suiting. An incredible jacket and skirt made completely of gold and black geometric paillettes, a narrow streak of wonderment worn by Jamie Bochert, passed by, succeeded by airy lamé capes, a haze of gold and sparkle, floating from the shoulders of white pantsuits. It would take a much closer look to understand the technical wizardry and the actual degree of ecological soundness embedded in these clothes. That’s what clients will come to understand when they go up to the Rue Cambon for their fittings. It may be that they won’t be swayed one way or the other by the trouble Chanel took to source some of its materials this season.What surely matters at a time like this, even to the superrich, is whether these clothes have the built-in sustainability of another sort: Will they look just as beautiful and valid five or 10 years from now? Answer: Chosen well, yes. In another season, Karl and Chanel will doubtless have moved swiftly on from talking about ecology. Still, one thing’s absolutely for certain: While the Grand Palais turf goes to compost and the temporary pavilion wood is repurposed, the precious clothes on this runway will never be destined to end their lives in a landfill.",Sarah Mower,"January 26, 2016","https://assets.vogue.com/photos/56a73e88f161960456309d96/master/w_1280,c_limit/_CHA0031.jpg",,spring,2016,couture,2010,Karl Lagerfeld,1933.0,,"“ Fashion is part of the events of our times , ” declaredKarl Lagerfeldabout the Zen - like , eco - conscious serenity of theChanelHaute Couture collection in the Grand Palais . Reacting to the times ( especially in an age as troubled as ours ) can also mean needing to detach from them , fashion - mindfulness equated with luxury in this case . So where last October there was the high - tech , noisy hurly - burly of theChanel Airport , now there were the lush green lawns of a minimalist garden , water lily ponds , a slatted wood pavilion , and plenty of space and calm to contemplate it all under simulated blue skies . It seemed incredible that the same venue had been transformed into a convincing casino for the last couture show — a tribute to the set - design genius at — and just as incredible that this time , the gambling chips had been replaced by . . . wood chips . You read correctly : Wood chips were used as beading , paillettes , and 3 - D frills among techniques involving recycled paper and organic woven yarn . The wedding look — a dreamy tufted hoodie , dress , and train — was all “ made from wild cotton , ” said Lagerfeld , quipping , “ This is high - fashion ecology . It must not look like some sloppy demonstration!”A case could be built for haute couture being the most non - environmentally impactful branch of clothing production , anyway . It ’s handmade , takes infinite hours of work , and potentially lasts a lifetime , the antithesis of fast fashion ’s notorious processes and disposability . As the show unfolded , it became , in a way , a meditation on the timeless validity of ’s principles : pale bouclé suits , attenuated in the skirt , puffed in the sleeve , and with set - away collars ; a movement of classic navy and white ( there was a lovely white - collared classic French Gigi - at - school dress ) ; and passages of languid pearly charmeuse and black cocktailwear . But it was the evening that soared from the moment Lagerfeld started to introduce flecks of gold into the suiting . An incredible jacket and skirt made completely of gold and black geometric paillettes , a narrow streak of wonderment worn by , passed by , succeeded by airy lamé capes , a haze of gold and sparkle , floating from the shoulders of white pantsuits . It would take a much closer look to understand the technical wizardry and the actual degree of ecological soundness embedded in these clothes . That ’s what clients will come to understand when they go up to for their fittings . It may be that they wo n’t be swayed one way or the other by the trouble took to source some of its materials this season . What surely matters at a time like this , even to the superrich , is whether these clothes have the built - in sustainability of another sort : Will they look just as beautiful and valid five or 10 years from now ? Answer : Chosen well , yes . In another season , and will doubtless have moved swiftly on from talking about ecology . Still , one thing ’s absolutely for certain : While the Grand Palais turf goes to compost and the temporary pavilion wood is repurposed , the precious clothes on this runway will never be destined to end their lives in a landfill .",1,
Dondup,spring-2020-menswear,https://www.vogue.com/fashion-shows/spring-2020-menswear/dondup,,,,"https://assets.vogue.com/photos/5d06458fe8d14cb8f8aaed61/master/w_1280,c_limit/00001-dondup-menswear-spring-20.jpg",,spring,2020,menswear,2020,,,,None,1,
Alexander Wang,resort-2024-menswear,https://www.vogue.com/fashion-shows/resort-2024-menswear/alexander-wang,"Alexander Wang has entered his heritage brand era. The Rocco bag, first launched in 2009, is the comeback star of his latest collection. “When people started asking me for the Rocco again, I said, ‘are we really there yet? Are we back here?’” Wang recalled at a showroom visit. “I felt like it was just literally yesterday when I thought, ‘there’s too much Rocco,’ we need to purge.”As it turns out, Wang’s Rocco revival is coming right on schedule. Fashion conscious young people move fast and having embraced the Y2K trend, they’re now turning their attention to the 2010s, as the very online among us have noticed. “They weren’t around for the first round,” Wang continued. “They’re digging deeper into the depths of the internet. I couldn’t believe it, but I was getting texts from people asking me to make it again.” Where the original gave slouchy “model off-duty” vibes, the new one’s aerodynamism is born from the high frequency printing techniques used to make it.The early 2010s were Wang’s golden years, if that term can be used for a designer not yet 40. He had opened his first store in New York and had not yet been appointed as creative director at Balenciaga, and he was defining his design language—the deconstructed tailoring, the underwear as outerwear, and the leather and denim that gave his brand more street cred than any of his New York contemporaries.Those who witnessed Wang’s rise might shudder at the idea that his pre-Instagram collections qualify as vintage these days, but the designer himself is cheerily forward looking. He’s fresh off a listening tour in China where he’s opened about 15 stores in the last year. It was his first time in the country since the pandemic, and the feedback he kept hearing from customers was the need for versatility.That translated into Dickies-style chinos designed with hidden stretch waistbands so they can be worn high or low; and styling devices like boxer short tops that can be pulled on like a belt, to create the exposed underwear look without the bulk. For a bit of fun he designed a photo print of coins that appeared on an oversized shirt. Buttons on jean jackets and denim shirts also looked like honest-to-goodness nickels and dimes, though Wang clarified that they’re not actual U.S. currency.Wang’s store expansion is continuing apace in North America. Toronto and Miami are scheduled to open before the end of the year, and Las Vegas and Vancouver are scheduled for early 2024.",Nicole Phelps,"October 24, 2023","https://assets.vogue.com/photos/652ebc1841906ece55a71e08/master/w_1280,c_limit/00001-alexander-wang-resort-2024-menswear-credit-brand.jpg",,resort,2024,menswear,2020,Alexander Wang,1983.0,Parsons School of Design,"has entered his heritage brand era . The bag , first launched in 2009 , is the comeback star of his latest collection . “ When people started asking me for the again , I said , ‘ are we really there yet ? Are we back here ? ’ ” recalled at a showroom visit . “ I felt like it was just literally yesterday when I thought , ‘ there ’s too much , ’ we need to purge . ”As it turns out , revival is coming right on schedule . Fashion conscious young people move fast and having embraced the Y2 K trend , they ’re now turning their attention to the 2010s , as the very online among us have noticed . “ They were n’t around for the first round , ” continued . “ They ’re digging deeper into the depths of the internet . I could n’t believe it , but I was getting texts from people asking me to make it again . ” Where the original gave slouchy “ model off - duty ” vibes , the new one ’s aerodynamism is born from the high frequency printing techniques used to make it . The early 2010s were golden years , if that term can be used for a designer not yet 40 . He had opened his first store in New York and had not yet been appointed as creative director at Balenciaga , and he was defining his design language — the deconstructed tailoring , the underwear as outerwear , and the leather and denim that gave his brand more street cred than any of his New York contemporaries . Those who witnessed ’s rise might shudder at the idea that his pre - Instagram collections qualify as vintage these days , but the designer himself is cheerily forward looking . He ’s fresh off a listening tour in China where he ’s opened about 15 stores in the last year . It was his first time in the country since the pandemic , and the feedback he kept hearing from customers was the need for versatility . That translated into Dickies - style chinos designed with hidden stretch waistbands so they can be worn high or low ; and styling devices like boxer short tops that can be pulled on like a belt , to create the exposed underwear look without the bulk . For a bit of fun he designed a photo print of coins that appeared on an oversized shirt . Buttons on jean jackets and denim shirts also looked like honest - to - goodness nickels and dimes , though clarified that they ’re not actual U.S. currency . ’s store expansion is continuing apace in North America . Toronto and Miami are scheduled to open before the end of the year , and Las Vegas and Vancouver are scheduled for early 2024 .",1,
Etro,spring-2015-menswear,https://www.vogue.com/fashion-shows/spring-2015-menswear/etro,"Milan is already throwing up structures for next year's Food Expo, so Kean Etro was hardly ahead of the curve in devoting his new collection to comestibles. But that didn't make the inspiration any less strange. In the grand scheme of Italian culture, food has always been a more logical fit with film and fine art (Etro reminded us of Arcimboldo's 16th-century vegetable paintings) than with fashion. Not that logic is one of Kean Etro's lodestones, but he kind of showed why food and fashion are an odd couple, when one model walked by in a shirt and track pants printed with plates of seafood. Gamberoni are not glamorous. Bivalves are not beautiful. And tomato sauce embroideries only underscored the risk when the real thing meets white jeans on a summer holiday.Etro being something of a philosopher, there was the obvious subtext that you are what you eat. So if youwearwhat you eat, you're punching the point home even harder. The prints of pasta and shellfish were a trifle indigestible, especially when combined with Etro's swirling paisleys writ large, but the culture around enjoying food in the summer translated much more successfully into clothing. Blue- and red-checked tablecloths, for instance, were a cliché splendidly transmogrified into suits by the tailors Etro acknowledged so movingly on last season's catwalk. Gelato colors were celebrated in an uplifting sequence of separates. And you could say that the new emphasis on athleticwear was all about working off the last meal, as much as the generously cut double-breasted jackets and trousers would gracefully conceal any excess avoirdupois.A musical note: The live soundtrack was supplied by Hang Massive, an English duo encountered on the street in Goa by Kean and his wife, Constanza. They play hang drums, with a sound like a softer, sweeter steel drum and they're worth YouTubing. An Etro show is always an education on some level.",Tim Blanks,"June 22, 2014","https://assets.vogue.com/photos/55c6514308298d8be21e63b0/master/w_1280,c_limit/ETR_0039.1366x2048.JPG",,spring,2015,menswear,2010,Kean Etro,,,"Milan is already throwing up structures for next year 's Food Expo , so was hardly ahead of the curve in devoting his new collection to comestibles . But that did n't make the inspiration any less strange . In the grand scheme of Italian culture , food has always been a more logical fit with film and fine art ( reminded us of 's 16th - century vegetable paintings ) than with fashion . Not that logic is one of lodestones , but he kind of showed why food and fashion are an odd couple , when one model walked by in a shirt and track pants printed with plates of seafood . Gamberoni are not glamorous . Bivalves are not beautiful . And tomato sauce embroideries only underscored the risk when the real thing meets white jeans on a summer holiday . being something of a philosopher , there was the obvious subtext that you are what you eat . So if youwearwhat you eat , you 're punching the point home even harder . The prints of pasta and shellfish were a trifle indigestible , especially when combined with 's swirling paisleys writ large , but the culture around enjoying food in the summer translated much more successfully into clothing . Blue- and red - checked tablecloths , for instance , were a cliché splendidly transmogrified into suits by the tailors acknowledged so movingly on last season 's catwalk . Gelato colors were celebrated in an uplifting sequence of separates . And you could say that the new emphasis on athleticwear was all about working off the last meal , as much as the generously cut double - breasted jackets and trousers would gracefully conceal any excess avoirdupois . A musical note : The live soundtrack was supplied by , an English duo encountered on the street in Goa by and his wife , Constanza . They play hang drums , with a sound like a softer , sweeter steel drum and they 're worth . An show is always an education on some level .",0,Gamberoni are not glamorous. Bivalves are not beautiful. The prints of pasta and shellfish were a trifle indigestible.
DKNY,resort-2012,https://www.vogue.com/fashion-shows/resort-2012/dkny,"The sharply tailored cape that wears like a coat draped over the shoulders—a favorite way of dressing among fashion editors—was major for Fall at DKNY. And the silhouette has come back strong for Resort, showing up on a fun sequined blouse, a long-haired shearling topper, and, most notably, on a flattering black crepe dress with structured shoulders. Scarf dressing, another well-trodden but resilient theme, was revisited here as well. The design team combined a silk scarf in a vintage nineties print with the label's signature, wear-it-any-which-way cozy sweater for a new twist on an old design. For nights out, flirty miniskirts came with either shredded chiffon ruffles or iridescent pink paillettes. A crimson-colored shearling coat hit on one of the runways' biggest trends; like the rest of the collection, it was no envelope-pusher, but still modern and accessible to the label's broad customer base.",Brittany Adams,"May 26, 2011","https://assets.vogue.com/photos/55c650ba08298d8be2152353/master/w_1280,c_limit/001fullscreen.jpg",,resort,2012,other,2010,Donna Karan,1948.0,The New School,"The sharply tailored cape that wears like a coat draped over the shoulders — a favorite way of dressing among fashion editors — was major for at DKNY . And the silhouette has come back strong for Resort , showing up on a fun sequined blouse , a long - haired shearling topper , and , most notably , on a flattering black crepe dress with structured shoulders . Scarf dressing , another well - trodden but resilient theme , was revisited here as well . The design team combined a silk scarf in a vintage nineties print with the label 's signature , wear - it - any - which - way cozy sweater for a new twist on an old design . For nights out , flirty miniskirts came with either shredded chiffon ruffles or iridescent pink paillettes . A crimson - colored shearling coat hit on one of the runways ' biggest trends ; like the rest of the collection , it was no envelope - pusher , but still modern and accessible to the label 's broad customer base .",1,
