,title,fashion_houseLabel,designerLabel,start_year,end_year
0,founder,Irene Neuwirth,Irene Neuwirth,,
1,founder,Emilio Cavallini,Emilio Cavallini,,
2,founder,Kris Van Assche,Kris Van Assche,,
3,Creative Director,Issey Miyake,Dai Fujiwara,,
4,creative director,Hunza G,Georgiana Huddart,,
5,creative director,Creed,Olivier Creed,,
6,creative director,Creed,Erwin von Steinbach,,
7,creative director,Diesel,Andrea Rosso,,
8,chief designer,Givenchy,Julien Macdonald,2001,2004
9,founder,Chloé,Gaby Aghion,1952,1985
10,creative director,Anne Klein,Isabel Toledo,2006,2007
11,women's ready-to-wear  chief designer,Hermès,Martin Margiela,1997,2003
12,men line creative director,Dior,Kris Van Assche,2007,2018
13,creative director,Agnona,Massimo Alba,2000,2002
14,Marketing Director,Diesel,Johan Lindeberg,1990,1996
15,creative director,Malo,Massimo Alba,1988,1999
16,founder,Miriam Haskell,Miriam Haskell,1920,1950
17,managing director,Fila,Enrico Frachey,1974,1979
18,creative director,Helmut Lang,Michael Colovos,2006,2014
19,creative director,Helmut Lang,Nicole Colovos,2006,2014
20,chief designer,Chanel,Karl Lagerfeld,1983,2019
21,founder,Costume National,Ennio Capasa,1986,
22,Creative Director,Byblos,John Bartlett,1997,
23,creative director,Cacharel,Eley Kishimoto,2008,
24,founder,Lanvin,Jeanne Lanvin,1909,
25,Creative Director,DAKS,Filippo Scuffi,2009,
26,founder,Eley Kishimoto,Eley Kishimoto,1992,
27,founder,Emanuel Ungaro,Emanuel Ungaro,1965,
28,founder,Eugenia Kim,Eugenia Kim,1997,
29,founder,Filippa K,Filippa Knutsson,1993,
30,founder,Gigi Burris,Gigi Burris,2009,
31,founder,Giuseppe Zanotti,Giuseppe Zanotti,1994,
32,founder,Junya Watanabe,Junya Watanabe,1992,
33,founder/designer,Elizabeth Hurley,Elizabeth Hurley,2005,
34,founder,Georgia Hardinge,Georgia Hardinge,2009,
35,founder,John Cavanagh,John Cavanagh,1952,
36,Head of Menswear Design,Ralph Lauren,John Varvatos,1995,
37,head designer (women's ready-to-wear and haute couture collections),Versace,Marco Zanini,1978,
38,founder,Norman Hartnell Ltd,Norman Hartnell,1923,
39,Creative Director,Pucci,Matthew Williamson,2005,
40,founder,Jasper Conran,Jasper Conran,1978,
41,founder,Luca Luca,Luca Orlandi,1992,
42,founder,Michael Bastian,Michael Bastian,1999,
43,founder,Michael Michael Kors,Michael Kors,1981,
44,founder,Naeem Khan,Naeem Khan,2003,
45,Creative Director,William Rast,Johan Lindeberg,2007,2009
46,men’s fashion director,Bergdorf Goodman,Michael Bastian,1929,
47,founder,Jill Jill Stuart,Jill Stuart,1993,
48,design director,Loewe,Narciso Rodriguez,1997,2001
49,director,Mary Quant,Mary Quant,2000,2000
50,founder,Jeff Banks,Jeff Banks,1969,
51,founder,Lainey Keogh,Lainey Keogh,1984,
52,founder,Lindka Cierach,Lindka Cierach,1978,
53,creative director,Gucci,Tom Ford,1990,2003
54,creative director,Gucci,Alessandra Facchinetti,2004,2006
55,creative director,Gucci,Dawn Mello,1989,
56,Creative Director,Issey Miyake,Naoki Takizawa,2000,
57,creative director,Iceberg,Patricia Gerani,1974,
58,creative director,Iceberg,Paolo Gerani,2000,
59,creative director,Fendi,Karl Lagerfeld,1962,
60,creative director,Felipe Oliveira Baptista,Felipe Oliveira Baptista,2002,
61,chief operating officer,Fila,Marco Isaia,1998,
62,head of the main U.S. subsidiary,Fila,Jon Epstein,1998,
63,Founder,James Perse,James Perse,1994,
64,creative director,Jasmine Di Milo,Jasmine Di Milo,2003,
65,creative director,Jason Wu Collection,Jason Wu,2003,
66,founder,Jeffrey Chow,Jeffrey Campbell,2003,
67,creative director,Jens Laugesen,Jens Laugesen,2002,2008
68,creative director,Gabriele Colangelo,Gabriele Colangelo,2008,
69,creative director,Gareth Pugh,Gareth Pugh,2006,
70,creative director,Garrard,Jade Jagger,2002,
71,Creative Director,Garrard,Stephen J. Webster,1721,
72,creative director,Garrard,Jade Jagger,2002,
73,Creative Director,Garrard,Stephen J. Webster,1871,
74,Design Director,Geoffrey Beene,Geoffrey Beene,1963,2004
75,Design Director,Geoffrey Beene,Einar Holiloekk,2004,
76,artistic director,Guy Laroche,Marcel Marongiu,2007,
77,creative director,Halston,Halston,1968,1984
78,creative chief,Halston,Marco Zanini,2008,2008
