designer_name,URL
Adolfo Sardinia,https://www.fashionmodeldirectory.com/designers/adolfo-sardinia/
Azzedine Alaia,https://www.fashionmodeldirectory.com/designers/azzedine-alaia/
Antonio Berardi,https://www.fashionmodeldirectory.com/designers/antonio-berardi/
Annemarie Beretta,https://www.fashionmodeldirectory.com/designers/annemarie-beretta/
Augusta Bernard,https://www.fashionmodeldirectory.com/designers/augusta-bernard/
Alistair Blair,https://www.fashionmodeldirectory.com/designers/alistair-blair/
Antonio Castillo,https://www.fashionmodeldirectory.com/designers/antonio-castillo/
Alberta Ferretti,https://www.fashionmodeldirectory.com/designers/alberta-ferretti/
Alessandro Dellacqua,https://www.fashionmodeldirectory.com/designers/alessandro-dellacqua/
Alexander McQueen,https://www.fashionmodeldirectory.com/designers/alexander-mcqueen/
Ann Demeulemeester,https://www.fashionmodeldirectory.com/designers/ann-demeulemeester/
Anna Molinari,https://www.fashionmodeldirectory.com/designers/anna-molinari/
Anna Sui,https://www.fashionmodeldirectory.com/designers/anna-sui/
Adi Ange Kai And Gabi As Four,https://www.fashionmodeldirectory.com/designers/adi-ange-kai-and-gabi-as-four/
Adele Casagrande,https://www.fashionmodeldirectory.com/designers/adele-casagrande/
Adele Simpson,https://www.fashionmodeldirectory.com/designers/adele-simpson/
Adeline Andre,https://www.fashionmodeldirectory.com/designers/adeline-andre/
Akira Isogawa,https://www.fashionmodeldirectory.com/designers/akira-isogawa/
Alice Roi,https://www.fashionmodeldirectory.com/designers/alice-roi/
Amanda Wakeley,https://www.fashionmodeldirectory.com/designers/amanda-wakeley/
Anand Jon,https://www.fashionmodeldirectory.com/designers/anand-jon/
Angelo Tarlazzi,https://www.fashionmodeldirectory.com/designers/angelo-tarlazzi/
Arnold Girombelli,https://www.fashionmodeldirectory.com/designers/arnold-girombelli/
Adrienne Vittadini,https://www.fashionmodeldirectory.com/designers/adrienne-vittadini/
Alice Temperley,https://www.fashionmodeldirectory.com/designers/alice-temperley/
Amaya Arzuaga,https://www.fashionmodeldirectory.com/designers/amaya-arzuaga/
Andre Courreges,https://www.fashionmodeldirectory.com/designers/andre-courreges/
Andrew Gn,https://www.fashionmodeldirectory.com/designers/andrew-gn/
Anne Valerie Hash,https://www.fashionmodeldirectory.com/designers/anne-valerie-hash/
Arkadius Weremczuk,https://www.fashionmodeldirectory.com/designers/arkadius-weremczuk/
Atsuro Tayama,https://www.fashionmodeldirectory.com/designers/atsuro-tayama/
Albert Kreimier,https://www.fashionmodeldirectory.com/designers/albert-kreimier/
Anne Klein,https://www.fashionmodeldirectory.com/designers/anne-klein/
Anna Zegna,https://www.fashionmodeldirectory.com/designers/anna-zegna/
Antonio Marras,https://www.fashionmodeldirectory.com/designers/antonio-marras/
Alessandro Berluti,https://www.fashionmodeldirectory.com/designers/alessandro-berluti/
Aage Thaarup,https://www.fashionmodeldirectory.com/designers/aage-thaarup/
Adolph Adi And Rudolf Rudi Dassler,https://www.fashionmodeldirectory.com/designers/adolph-adi-and-rudolf-rudi-dassler/
Adrienne Steckling,https://www.fashionmodeldirectory.com/designers/adrienne-steckling/
Agnes Trouble,https://www.fashionmodeldirectory.com/designers/agnes-trouble/
Akio Hirata,https://www.fashionmodeldirectory.com/designers/akio-hirata/
Alicia Bell,https://www.fashionmodeldirectory.com/designers/alicia-bell/
Allison Lloyd,https://www.fashionmodeldirectory.com/designers/allison-lloyd/
Alphonse Maria Mucha,https://www.fashionmodeldirectory.com/designers/alphonse-maria-mucha/
Amy Davis,https://www.fashionmodeldirectory.com/designers/amy-davis/
Anais Toudouze,https://www.fashionmodeldirectory.com/designers/anais-toudouze/
Andreedouard Marty,https://www.fashionmodeldirectory.com/designers/andreedouard-marty/
Andrea Pfister,https://www.fashionmodeldirectory.com/designers/andrea-pfister/
Andrew Robb,https://www.fashionmodeldirectory.com/designers/andrew-robb/
Angelo Litrico,https://www.fashionmodeldirectory.com/designers/angelo-litrico/
Anja Kroencke,https://www.fashionmodeldirectory.com/designers/anja-kroencke/
Ann Cole Lowe,https://www.fashionmodeldirectory.com/designers/ann-cole-lowe/
Antonio Lopez,https://www.fashionmodeldirectory.com/designers/antonio-lopez/
Antony Price,https://www.fashionmodeldirectory.com/designers/antony-price/
Arnold Scaasi,https://www.fashionmodeldirectory.com/designers/arnold-scaasi/
Audrey Lewis,https://www.fashionmodeldirectory.com/designers/audrey-lewis/
Andres Throckmorton Stickney,https://www.fashionmodeldirectory.com/designers/andres-throckmorton-stickney/
Ani Kiramichyan,https://www.fashionmodeldirectory.com/designers/ani-kiramichyan/
Anthony Kendal,https://www.fashionmodeldirectory.com/designers/anthony-kendal/
Ashleigh Verrier,https://www.fashionmodeldirectory.com/designers/ashleigh-verrier/
Akira Onozuka,https://www.fashionmodeldirectory.com/designers/akira-onozuka/
Alberelbaz,https://www.fashionmodeldirectory.com/designers/alberelbaz/
Alexander Wang,https://www.fashionmodeldirectory.com/designers/alexander-wang/
Adam Jones,https://www.fashionmodeldirectory.com/designers/adam-jones/
An Vandevorst  Filip Arickx,https://www.fashionmodeldirectory.com/designers/an-vandevorst--filip-arickx/
Alannah Hill,https://www.fashionmodeldirectory.com/designers/alannah-hill/
Adolfo Dominguez,https://www.fashionmodeldirectory.com/designers/adolfo-dominguez/
Adriana Degreas,https://www.fashionmodeldirectory.com/designers/adriana-degreas/
Alessandro De Benedetti,https://www.fashionmodeldirectory.com/designers/alessandro-de-benedetti/
Afshin Feiz,https://www.fashionmodeldirectory.com/designers/afshin-feiz/
Alan Del Rosario,https://www.fashionmodeldirectory.com/designers/alan-del-rosario/
Alex Perry,https://www.fashionmodeldirectory.com/designers/alex-perry/
Andrew Buckler,https://www.fashionmodeldirectory.com/designers/andrew-buckler/
Alexandre Herchcovitch,https://www.fashionmodeldirectory.com/designers/alexandre-herchcovitch/
Angel Sanchez,https://www.fashionmodeldirectory.com/designers/angel-sanchez/
Anne Bowen,https://www.fashionmodeldirectory.com/designers/anne-bowen/
Andre De Sa Pessoa,https://www.fashionmodeldirectory.com/designers/andre-de-sa-pessoa/
Anabela Baldaque,https://www.fashionmodeldirectory.com/designers/anabela-baldaque/
Alexandra Nea,https://www.fashionmodeldirectory.com/designers/alexandra-nea/
Alvin Valley,https://www.fashionmodeldirectory.com/designers/alvin-valley/
Andrew Mackenzie,https://www.fashionmodeldirectory.com/designers/andrew-mackenzie/
Alviero Martini,https://www.fashionmodeldirectory.com/designers/alviero-martini/
Allegra Hicks,https://www.fashionmodeldirectory.com/designers/allegra-hicks/
Andrew Groves,https://www.fashionmodeldirectory.com/designers/andrew-groves/
Anthony Symonds,https://www.fashionmodeldirectory.com/designers/anthony-symonds/
Ashley Paige,https://www.fashionmodeldirectory.com/designers/ashley-paige/
Anya Hindmarch,https://www.fashionmodeldirectory.com/designers/anya-hindmarch/
Ashish Gupta,https://www.fashionmodeldirectory.com/designers/ashish-gupta/
Antonio Miro,https://www.fashionmodeldirectory.com/designers/antonio-miro/
Atil Kutoglu,https://www.fashionmodeldirectory.com/designers/atil-kutoglu/
Arthurmendonca,https://www.fashionmodeldirectory.com/designers/arthurmendonca/
Antoni Burakowski  Alison Roberts,https://www.fashionmodeldirectory.com/designers/antoni-burakowski--alison-roberts/
Aurelio Costarella,https://www.fashionmodeldirectory.com/designers/aurelio-costarella/
Amir Slama,https://www.fashionmodeldirectory.com/designers/amir-slama/
Amalia Spinardi,https://www.fashionmodeldirectory.com/designers/amalia-spinardi/
