fashionDesigner,designer_name
http://www.wikidata.org/entity/Q45661,Coco Chanel
http://www.wikidata.org/entity/Q118731,Robert Piguet
http://www.wikidata.org/entity/Q159694,Christian Dior
http://www.wikidata.org/entity/Q167318,Hubert de Givenchy
http://www.wikidata.org/entity/Q171556,Yves Saint Laurent
http://www.wikidata.org/entity/Q234503,Nina Ricci
http://www.wikidata.org/entity/Q237944,Sonia Rykiel
http://www.wikidata.org/entity/Q242868,Jean-Paul Gaultier
http://www.wikidata.org/entity/Q272717,Jeanne Lanvin
http://www.wikidata.org/entity/Q299211,Pierre Cardin
http://www.wikidata.org/entity/Q320401,Loris Azzaro
http://www.wikidata.org/entity/Q320741,Edward Molyneux
http://www.wikidata.org/entity/Q350844,Christian Lacroix
http://www.wikidata.org/entity/Q371411,Guy Laroche
http://www.wikidata.org/entity/Q376411,Christophe Decarnin
http://www.wikidata.org/entity/Q439350,Lola Prusac
http://www.wikidata.org/entity/Q442714,Jeanne Paquin
http://www.wikidata.org/entity/Q465447,André Courrèges
http://www.wikidata.org/entity/Q467847,Grès
http://www.wikidata.org/entity/Q470436,Gianfranco Ferré
http://www.wikidata.org/entity/Q529203,Emanuel Ungaro
http://www.wikidata.org/entity/Q551674,Pierre Balmain
http://www.wikidata.org/entity/Q631884,Paul Poiret
http://www.wikidata.org/entity/Q670606,Julien Fournié
http://www.wikidata.org/entity/Q711826,Daniel Hechter
http://www.wikidata.org/entity/Q725402,Ted Lapidus
http://www.wikidata.org/entity/Q1028975,Jacques Fath
http://www.wikidata.org/entity/Q1031490,Márta Göldner
http://www.wikidata.org/entity/Q1096995,Claude Montana
http://www.wikidata.org/entity/Q1118468,Dóra Konsánszky
http://www.wikidata.org/entity/Q1229352,Jean Patou
http://www.wikidata.org/entity/Q1259209,Jacques Doucet
http://www.wikidata.org/entity/Q1871683,Louis Féraud
http://www.wikidata.org/entity/Q2553832,Azzedine Alaïa
http://www.wikidata.org/entity/Q2572377,Lucien Lelong
http://www.wikidata.org/entity/Q2634269,Vivienne Tam
http://www.wikidata.org/entity/Q2698469,Marcel Rochas
http://www.wikidata.org/entity/Q2824210,Adeline André
http://www.wikidata.org/entity/Q2834112,Alexandre Vauthier
http://www.wikidata.org/entity/Q2834573,Alexis Mabille
http://www.wikidata.org/entity/Q2851314,Anne Valérie Hash
http://www.wikidata.org/entity/Q2921386,Bouchra Jarrar
http://www.wikidata.org/entity/Q2939637,Marie-Louise Carven
http://www.wikidata.org/entity/Q2978114,Claude Saint-Cyr
http://www.wikidata.org/entity/Q3035476,Dominique Sirop
http://www.wikidata.org/entity/Q3082287,Franck Sorbier
http://www.wikidata.org/entity/Q3121385,Gustavo Lins
http://www.wikidata.org/entity/Q3156469,Izet Curi
http://www.wikidata.org/entity/Q3159035,Jacques Griffe
http://www.wikidata.org/entity/Q3159088,Jacques Heim
http://www.wikidata.org/entity/Q3166980,Jean-Louis Scherrer
http://www.wikidata.org/entity/Q3177164,Jenny Sacerdote
http://www.wikidata.org/entity/Q3219387,Laurent Mercier
http://www.wikidata.org/entity/Q3228750,Lecoanet Hemant
http://www.wikidata.org/entity/Q3262198,Louis Hippolyte Leroy
http://www.wikidata.org/entity/Q3275767,Madeleine de Rauch
http://www.wikidata.org/entity/Q3276812,Maggy Rouff
http://www.wikidata.org/entity/Q3287825,Marc Bohan
http://www.wikidata.org/entity/Q3289541,Marcelle Chaumont
http://www.wikidata.org/entity/Q3442089,Rosa Pichon
http://www.wikidata.org/entity/Q3502045,Stéphane Rolland
http://www.wikidata.org/entity/Q3809302,John Guida
http://www.wikidata.org/entity/Q5079420,Charles James
http://www.wikidata.org/entity/Q5546792,Georges Doeuillet
http://www.wikidata.org/entity/Q6491651,Lars Nilsson
http://www.wikidata.org/entity/Q11912538,Caroline Montagne Roux
http://www.wikidata.org/entity/Q12345123,Anna Tamás
http://www.wikidata.org/entity/Q12350579,Katalin Bandi
http://www.wikidata.org/entity/Q16213426,Jamal Taslaq
http://www.wikidata.org/entity/Q16224815,Jeanne Lafaurie
http://www.wikidata.org/entity/Q16739563,Heinz Schulze-Varell
http://www.wikidata.org/entity/Q17047966,Jean-Philippe Worth
http://www.wikidata.org/entity/Q17496748,Klára Zsindelyné Tüdős
http://www.wikidata.org/entity/Q19300925,Madame Renaud
http://www.wikidata.org/entity/Q21130177,Lino
http://www.wikidata.org/entity/Q21572882,Demna Gvasalia
http://www.wikidata.org/entity/Q21854966,Tina Olari
http://www.wikidata.org/entity/Q24718583,Zsuzsa Ökrös
http://www.wikidata.org/entity/Q28135885,Isidore-René Jacob-Paquin
http://www.wikidata.org/entity/Q47506551,Ágnes Kovács
http://www.wikidata.org/entity/Q50663275,András Brád
http://www.wikidata.org/entity/Q56291031,Mike Amiri
http://www.wikidata.org/entity/Q63150115,Émile Pingat
http://www.wikidata.org/entity/Q65216356,Nikoletta Molnár
http://www.wikidata.org/entity/Q71987512,Jean Sully-Dumas
http://www.wikidata.org/entity/Q111362967,Éva Vajk
http://www.wikidata.org/entity/Q113027824,Vera Nádor
http://www.wikidata.org/entity/Q113500226,Mónika Czédly
http://www.wikidata.org/entity/Q114339921,Pedro Rodríguez
http://www.wikidata.org/entity/Q124595234,Q124595234
http://www.wikidata.org/entity/Q124595439,Zita Borszéki
http://www.wikidata.org/entity/Q130637754,Juan Carlos Mesa
http://www.wikidata.org/entity/Q558,Hedi Slimane
http://www.wikidata.org/entity/Q14313,Pharrell Williams
http://www.wikidata.org/entity/Q15935,Kanye West
http://www.wikidata.org/entity/Q19810,Victoria Beckham
http://www.wikidata.org/entity/Q23543,Selena
http://www.wikidata.org/entity/Q24218,Nick Cave
http://www.wikidata.org/entity/Q26274,Nina Mercedez
http://www.wikidata.org/entity/Q29619,Marjan Pejoski
http://www.wikidata.org/entity/Q30449,Avril Lavigne
http://www.wikidata.org/entity/Q36153,Beyoncé
http://www.wikidata.org/entity/Q40715,Jennifer Lopez
http://www.wikidata.org/entity/Q43754,Willy Bogner
http://www.wikidata.org/entity/Q45415,Rudolph Moshammer
http://www.wikidata.org/entity/Q45661,Coco Chanel
http://www.wikidata.org/entity/Q47899,Paris Hilton
http://www.wikidata.org/entity/Q51448,Harald Glööckler
http://www.wikidata.org/entity/Q60306,Anita Pallenberg
http://www.wikidata.org/entity/Q60970,Sakis Rouvas
http://www.wikidata.org/entity/Q62766,Jay-Z
http://www.wikidata.org/entity/Q63219,Hugo Boss
http://www.wikidata.org/entity/Q69066,Jil Sander
http://www.wikidata.org/entity/Q69190,Tomas Maier
http://www.wikidata.org/entity/Q73234,Philipp Plein
http://www.wikidata.org/entity/Q75622,Elizabeth Hurley
http://www.wikidata.org/entity/Q76716,Karl Lagerfeld
http://www.wikidata.org/entity/Q76751,Adolf Dassler
http://www.wikidata.org/entity/Q76896,Torsten Amft
http://www.wikidata.org/entity/Q79147,Emilie Louise Flöge
http://www.wikidata.org/entity/Q79191,Jelena Karleuša
http://www.wikidata.org/entity/Q83287,Selena Gomez
http://www.wikidata.org/entity/Q88740,Uli Herzner
http://www.wikidata.org/entity/Q89478,Elisabeth von Janota-Bzowski
http://www.wikidata.org/entity/Q89933,Barbara Becker
http://www.wikidata.org/entity/Q91557,Wolfgang Joop
http://www.wikidata.org/entity/Q99384,Adolf Riedl
http://www.wikidata.org/entity/Q107104,Anja Gockel
http://www.wikidata.org/entity/Q107703,Haman Alimardani
http://www.wikidata.org/entity/Q110846,Heinz Oestergaard
http://www.wikidata.org/entity/Q111577,Howard Greer
http://www.wikidata.org/entity/Q114041,Rudi Gernreich
http://www.wikidata.org/entity/Q115201,Liya Kebede
http://www.wikidata.org/entity/Q118614,Iris von Arnim
http://www.wikidata.org/entity/Q121066,Stefi Talman
http://www.wikidata.org/entity/Q122020,Hilary Duff
http://www.wikidata.org/entity/Q130188,Ivan Ivanovic
http://www.wikidata.org/entity/Q131324,Janet Jackson
http://www.wikidata.org/entity/Q136687,Tommy Hilfiger
http://www.wikidata.org/entity/Q139161,Zac Posen
http://www.wikidata.org/entity/Q144703,Kevin Willis
http://www.wikidata.org/entity/Q145245,Irene Lentz—Maud
http://www.wikidata.org/entity/Q152116,Louis Réard
http://www.wikidata.org/entity/Q157054,Giorgio Armani
http://www.wikidata.org/entity/Q158067,Vivienne Westwood
http://www.wikidata.org/entity/Q166147,Alice Temperley
http://www.wikidata.org/entity/Q167318,Hubert de Givenchy
http://www.wikidata.org/entity/Q167635,"Tyler, the Creator"
http://www.wikidata.org/entity/Q167696,Nicole Scherzinger
http://www.wikidata.org/entity/Q168992,Jessica Simpson
http://www.wikidata.org/entity/Q172261,John Malkovich
http://www.wikidata.org/entity/Q181630,Sayo Hayakawa
http://www.wikidata.org/entity/Q186304,Kim Kardashian
http://www.wikidata.org/entity/Q187832,Mandy Moore
http://www.wikidata.org/entity/Q188461,Dannii Minogue
http://www.wikidata.org/entity/Q188648,Raven-Symoné
http://www.wikidata.org/entity/Q189067,Alyssa Milano
http://www.wikidata.org/entity/Q193458,Sienna Miller
http://www.wikidata.org/entity/Q194220,Nas
http://www.wikidata.org/entity/Q202801,Vanessa Williams
http://www.wikidata.org/entity/Q203043,Peter Ingwersen
http://www.wikidata.org/entity/Q204019,M.I.A.
http://www.wikidata.org/entity/Q206581,Ben Sherman
http://www.wikidata.org/entity/Q207710,Sharon den Adel
http://www.wikidata.org/entity/Q207939,Alexander McQueen
http://www.wikidata.org/entity/Q212531,Kate Moss
http://www.wikidata.org/entity/Q212659,Monica Lewinsky
