schoolLabel,locationSchoolLabel,countrySchoolLabel
Central Saint Martins,London,United Kingdom
Ravensbourne University London,London,United Kingdom
Blackheath High School,Blackheath,United Kingdom
"Goldsmiths, University of London",London,United Kingdom
Georgetown University,Georgetown,United States
University of Milan,Milan,Italy
"University of California, Los Angeles",Los Angeles,United States
The Costello School,Basingstoke,United Kingdom
Queen Mary's College,Basingstoke,United Kingdom
TU Braunschweig,Brunswick,Germany
Central Saint Martins,London,United Kingdom
Michigan State University,East Lansing,United States
University of Milan,Milan,Italy
University of Westminster,London,United Kingdom
Central Saint Martins,London,United Kingdom
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Wellington College,Crowthorne,United Kingdom
Francis Holland School,London,United Kingdom
Heathfield School,Ascot,United Kingdom
Central Saint Martins,London,United Kingdom
Ricards Lodge High School,Wimbledon,United Kingdom
Central Saint Martins,London,United Kingdom
Rokeby School,London,United Kingdom
Riddlesdown Collegiate,Purley,United Kingdom
London School of Economics and Political Science,London,United Kingdom
Convent of the Sacred Heart,"James A. Burden, Jr. House and Otto H. Kahn House",United States
George Washington University,Foxhall,United States
George Washington University,Foggy Bottom,United States
Pipers Corner School,High Wycombe,United Kingdom
Royal Ballet School,London,United Kingdom
Peoples' Friendship University of Russia,Moscow,Russia
Peoples' Friendship University of Russia,Sochi,Russia
Bexhill College,Bexhill-on-Sea,United Kingdom
Academie voor Beeldende Kunsten Sint-Joost,Breda,Kingdom of the Netherlands
Royal College of Art,London,United Kingdom
Royal College of Art,Battersea,United Kingdom
Royal College of Art,South Kensington,United Kingdom
Michael Hall School,Forest Row,United Kingdom
Putney High School,London,United Kingdom
Haliç University,Istanbul,Turkey
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
Edinburgh College of Art,Edinburgh,United Kingdom
Central Saint Martins,London,United Kingdom
City of Sunderland College,Sunderland,United Kingdom
Higher Institute for Fine Arts,Ghent,Belgium
Bredero Mavo,Amsterdam,Netherlands
Central Saint Martins,London,United Kingdom
Gerrit Rietveld Academie,Amsterdam-Zuid,Netherlands
European Ceramics Work Center,Koninklijke Verenigde Leder BV,Netherlands
European Ceramics Work Center,Koninklijke Verenigde Leder BV,Netherlands
European Ceramics Work Center,Koninklijke Verenigde Leder BV,Netherlands
Hong Kong Polytechnic University,Kowloon City District,People's Republic of China
Hong Kong Polytechnic University,Yau Tsim Mong District,People's Republic of China
Hong Kong Polytechnic University,Kowloon City District,British Hong Kong
Hong Kong Polytechnic University,Yau Tsim Mong District,British Hong Kong
Central Saint Martins,London,United Kingdom
Loreto College,Hulme,United Kingdom
Wheeler School,Providence,United States
"University of California, Los Angeles",Los Angeles,United States
Westholme School,Blackburn,United Kingdom
Lycee Francais Charles de Gaulle,London,United Kingdom
Italia Conti Academy of Theatre Arts,London,United Kingdom
Hampstead School,Hampstead,United Kingdom
George Washington University,Foxhall,United States
George Washington University,Foggy Bottom,United States
Art Institute of Philadelphia,WCAU Studios,United States
City University of New York,New York City,United States
Philadelphia University,East Falls,United States
Central Saint Martins,London,United Kingdom
Wilson's School,Wallington,United Kingdom
Emily Carr University of Art and Design,Great Northern Way Campus,Canada
