creative_director,genderLabel
Alexander McQueen,male
Aage Thaarup,male
Achille Maramotti,male
Adriana Degreas,male
Aitor Throup,male
Akira Isogawa,male
Alex Perry,male
Alexander Wang,male
Alexandre Herchcovitch,male
Alfred Sung,male
Alistair Blair,male
Alviero Martini,male
Amir Slama,male
Anand Jon,male
André Perugia,male
Andreas Kronthaler,male
Andrew Groves,male
Angelo Litrico,male
Antonio Berardi,male
Antonio Castillo,male
Antonio Marras,male
Antony Price,male
Arnold Scaasi,male
Ben Sherman,male
Bernard Chandran,male
Bernhard Willhelm,male
Bill Blass,male
Bill Gibb,male
Bowie Wong,male
Bruce Oldfield,male
Brunello Cucinelli,male
Bruno Pieters,male
Carlos Miele,male
Emanuel Ungaro,male
Cesare Paciotti,male
Charles James,male
Christian Audigier,male
Christian Lacroix,male
Christophe Lemaire,male
Christian Louboutin,male
Christophe Coppens,male
Christopher Bailey,male
Christopher Kane,male
Christopher Raeburn,male
Christopher Shannon,male
Custo Dalmau,male
Damir Doma,male
David Azulay,male
David Chu,male
Derek Lam,male
Dirk Bikkembergs,male
Elie Saab,male
Elie Tahari,male
Elio Berhanyer,male
Elio Fiorucci,male
Emilio Cavallini,male
Emilio Pucci,male
Ennio Capasa,male
Enrico Coveri,male
Felipe Oliveira Baptista,male
Francesco Scognamiglio,male
Francisco Costa,male
Franco Moschino,male
Frederick Fox,male
Gareth Pugh,male
Geoffrey Beene,male
George Barbier,male
Giambattista Valli,male
Gianni Versace,male
Giles Deacon,male
Giuseppe Zanotti,male
Graham Smith,male
Guccio Gucci,male
Gustave Tassell,male
Henry Holland,male
Herbert Kasper,male
Howard Greer,male
Hugo Boss,male
Hussein Chalayan,male
Isaac Mizrahi,male
Issey Miyake,male
Italo Zucchelli,male
Jason Wu,male
Jasper Conran,male
Jean Barthet,male
Jeff Banks,male
Jeremy Scott,male
Jimmy Choo,male
Johan Lindeberg,male
John Anthony,male
John Bates,male
John Cavanagh,male
John Galliano,male
John Richmond,male
Joseph Altuzarra,male
Joseph Ettedgui,male
John Rocha,male
John Varvatos,male
Jonathan Saunders,male
Julien Macdonald,male
Christian Dior,male
Jun Takahashi,male
Kansai Yamamoto,male
Ken Scott,male
Kenneth Cole,male
Kevan Hall,male
Koos Van Den Akker,male
Kris Van Assche,male
Leon Max,male
Lloyd Klein,male
Louis Vuitton,male
Lie Sang Bong,male
Luciano Soprani,male
Malan Breton,male
Manish Arora,male
Marc Jacobs,male
Marcel Marongiu,male
Guy Laroche,male
Marco Zanini,male
Martin Margiela,male
Massimo Osti,male
Matthew Williamson,male
Michael Bastian,male
Michael Kors,male
Michel Klein,male
Mossimo Giannulli,male
Mr Pearl,male
Murray Arbeid,male
Naeem Khan,male
Naoki Takizawa,male
Narciso Rodriguez,male
Neil Barrett,male
Nick Verreos,male
Norman Hartnell,male
Norman Norell,male
Ocimar Versolato,male
Olivier Theyskens,male
Oskar Metsavaht,male
Ossie Clark,male
Otto Lucas,male
Ozwald Boateng,male
Paco Rabanne,male
Patrick Cox,male
Patrick Grant,male
Patrick Kelly,male
Paul Costelloe,male
Paul Iribe,male
Paul Marciano,male
Paul Smith,male
Pauric Sweeney,male
Perry Ellis,male
Phillip Lim,male
Pierre Cardin,male
Pierre Hardy,male
Prabal Gurung,male
Ralph Lauren,male
Raul Melgoza,male
Renato Balestra,male
Richard Nicoll,male
Rick Owens,male
Robert Clergerie,male
Roberto Capucci,male
Rocco Barocco,male
Roger Vivier,male
Roland Mouret,male
Romeo Gigli,male
Ronen Chen,male
Rudi Gernreich,male
Salvatore Ferragamo,male
Serge Cajfinger,male
William Travilla,male
Simon Chang,male
Stefano Pilati,male
Stephen Burrows,male
Stephen Jones,male
Steve Madden,male
Stuart Stockdale,male
Stuart Vevers,male
Thakoon Panichgul,male
Thierry Mugler,male
Thomas Burberry,male
Timothy Everest,male
Todd Oldham,male
Tomas Maier,male
Tommy Hilfiger,male
Travis Banton,male
Valentin Yudashkin,male
Walter Albini,male
Walter Van Beirendonck,male
Wayne Hemingway,male
Willy Bogner,male
Wolfgang Joop,male
Zac Posen,male
Domenico Dolce,male
Stefano Gabbana,male
Stephen Bruce,male
Giorgio Armani,male
Valentino,male
Hubert de Givenchy,male
Kenzō Takada,male
Alberta Ferretti,female
Collette Dinnigan,female
Adele Simpson,female
Adriana Degreas,female
Adrienne Vittadini,female
Alannah Hill,female
Alice Temperley,female
Amaya Arzuaga,female
Ann Demeulemeester,female
Anna Sui,female
Anne Fontaine,female
Anne Klein,female
Anya Hindmarch,female
Augusta Bernard,female
Barbara Casasola,female
Barbara Hulanicki,female
Bella Freud,female
Betsey Johnson,female
Bettina Liano,female
Betty Jackson,female
Bonnie Cashin,female
Carolina Herrera,female
Caroline Charles,female
Caroline Reboux,female
Carri Mundane,female
Catherine Malandrino,female
Catherine Walker,female
Celia Birtwell,female
Charlotte Eskildsen,female
Cornelia James,female
Cynthia Rowley,female
Damaris Evans,female
Daryl Kerrigan,female
Donatella Versace,female
Donna Karan,female
Edith Head,female
Elisa Jimenez,female
Elizabeth Hurley,female
Elsa Schiaparelli,female
Elspeth Gibson,female
Emily Wilkens,female
Emma Hope,female
Emmanuelle Khanh,female
Erin Fetherston,female
Fernanda Gattinoni,female
Filippa Knutsson,female
Frida Giannini,female
Gaby Aghion,female
Georgia Hardinge,female
Georgina Chapman,female
Gordon Conway,female
Gwen Stefani,female
Hanae Mori,female
Holly Harp,female
Irene Galitzine,female
Isabel Toledo,female
Janice Wainwright,female
Jen Kao,female
Jenny Packham,female
Joan Vass,female
Judith Leiber,female
Julie Verhoeven,female
Sienna Miller,female
Karen Walker,female
Katharine Hamnett,female
Kay Cohen,female
Kimora Lee Simmons,female
Lainey Keogh,female
Laura Ashley,female
Laura Biagiotti,female
Lindka Cierach,female
Lilly Pulitzer,female
Luella Bartley,female
Madeleine Vionnet,female
Margaret Howell,female
Marlies Dekkers,female
Martine Sitbon,female
Mary Quant,female
Michiko Koshino,female
Miuccia Prada,female
Carmen Marc Valvo,male
Adriano Goldschmied,male
Azzedine Alaïa,male
Haider Ackermann,male
Halston,male
Richie Rich,male
Roberto Cavalli,male
René Lacoste,male
Arthur Lasenby Liberty,male
Auguste Agassiz,male
Jean-Claude Jitrois,male
Joseph Abboud,male
Keita Maruyama,male
Traver Rains,male
Dan Single,male
Rudolf Dassler,male
Pierpaolo Piccioli,male
Alessandro Michele,male
Matthieu Blazy,male
Eric Wright,male
Nanette Lepore,female
Nicole Farhi,female
Nicole Miller,female
Patricia Field,female
Rachel Roy,female
Rebecca Taylor,female
Reem Acra,female
Roksanda Ilincic,female
Rossella Jardini,female
Sara Berman,female
Simone Mirman,female
Sonia Delaunay,female
Sophia Kokosalaki,female
Sophie Albou,female
Stacey Bendet,female
Sue Wong,female
Sybil Connolly,female
Tamara Mellon,female
Tanya Ling,female
Tara Jarmon,female
Tory Burch,female
Tracy Reese,female
Trelise Cooper,female
Vera Wang,female
Tsumori Chisato,female
Vanessa Bruno,female
Veronique Branquinho,female
Victoria Beckham,female
Vivienne Tam,female
Vivienne Westwood,female
Wendy Dagworthy,female
Yeojin Bae,female
Zandra Rhodes,female
Anita Pallenberg,female
Nina Ricci,female
Coco Chanel,female
Jeanne Lanvin,female
Marithé Bachellerie,female
Joséphine Callot Crimont,female
Marthe Callot Bertrand,female
Regina Callot Tennyson-Chantrell,female
Marie Callot Gerber,female
Consuelo Castiglioni,female
Giovanna Fontana,female
Micol Fontana,female
Zoe Fontana,female
Belinda Bellville,female
Marg von Schwerin,female
Jil Sander,female
Grès,female
Armandine Fresnais-Margaine,female
"Lucy, Lady Duff-Gordon",female
Louise Chéruit,female
Marie Huet,female
Mme Agnès,female
Dumebi Iyamah,female
Lien Bergé-Farwick,female
Hila Aadnevik,female
María Rosa Cazamor,female
Abiodun Folashade Tokunbo,female
Cami James,female
Nadia Napreychikov,female
Olga di Grésy,female
Anne Maria Schelfhout-Picnot,female
Jenny Haesely,female
Alessandra Facchinetti,female
Abigail Ashley,female
Abigail Keats,female
Adama Ndiaye,female
Adejoke Lasisi,female
Adrianne Ho,female
Adrienne Steckling-Coen,female
Agatha Ruiz de la Prada,female
Agneta Eckemyr,female
Agnimitra Paul,female
Aheda Zanetti,female
Aida Vee,female
Aimee Song,female
Aisha Ayensu,female
Aisleyne Horgan-Wallace,female
Akina Minami,female
Akshata Murty,female
Alejandra Dorado,female
Aleksandra Lalić,female
Alexandra Byrne,female
Aline Bernstein,female
Alison Carroll,female
Alison Eastwood,female
Alla Levashova,female
Allegra Versace,female
Alyssa Milano,female
Amsale Aberra,female
Ana Kras,female
Ana Locking,female
Andrée Putman,female
Angela Chan,female
Angela Kelly,female
Ania Pieroni,female
Anita Beryl,female
Anita Dongre,female
Calvin Klein,male
Yves Saint Laurent,male
François Girbaud,male
Ottavio Missoni,male
Pierre Balmain,male
Cristóbal Balenciaga,male
Sally Berg,male
Jean Patou,male
Jean-Paul Gaultier,male
André Courrèges,male
Gustavo Lins,male
Antoine Doucet,male
Ferdinando Sarmi,male
Gunner de Medici,male
René Bégué,male
Félix Poussineau,male
Leo Hirsch,male
Telfar Clemens,male
Karl Lagerfeld,male
Alberto Aspesi,male
Joe Mimran,male
Kristian Aadnevik,male
FAUX LAKE,male
Martin Ross,male
Stanley Platos,male
Benjamin Downend,male
Brian Atwood,male
Patrick Robinson,male
Christophe Decarnin,male
Anthony Vaccarello,male
Abbas Kaijuka,male
ASAP Bari,male
Adam Lippes,male
Admiral T,male
Adolf Dassler,male
Adolfo,male
Adolfo Domínguez,male
Agostino Lanfranchi,male
Aijaz Aslam,male
Al Sherrod Lambert,male
Alain Manoukian,male
Alan Faena,male
Alan King,male
Alber Elbaz,male
Albert Capraro,male
"Albert Hammond, Jr.",male
Albert Nipon,male
Aldo Gucci,male
Alessandro Dell'Acqua,male
Alessandro Sartori,male
Alex Stenzel,male
Alexander Amosu,male
Alexander Julian,male
Alexander Vasilyev,male
Alexander van Slobbe,male
Alexis Kirk,male
